 Date ; Heure ;Hauteur;Coeff.
Sam.18;"03h14
08h35
15h36
20h54";"1,17m
12,58m
0,99m
12,63m";" 
104
 
105"
Dim.19;"03h56
09h15
16h16
21h32";"1,01m
12,63m
1,06m
12,59m";" 
104
 
102"
Lun.20;"04h35
09h55
16h53
22h11";"1,16m
12,36m
1,45m
12,23m";" 
99
 
94"
Mar.21;"05h14
10h35
17h30
22h51";"1,61m
11,75m
2,11m
11,58m";" 
88
 
81"
Mer.22;"05h53
11h19
18h10
23h36";"2,31m
10,89m
2,96m
10,72m";" 
73
 
65"
Jeu.23;"06h38
12h12
19h00";"3,14m
9,92m
3,83m";" 
58
 "
Ven.24;"00h34
07h38
13h25
20h10";"9,82m
3,90m
9,12m
4,48m";"51
 
46"
Sam.25;"01h57
09h03
15h04
21h43";"9,20m
4,28m
8,88m
4,56m";"44
 
44
 "
Dim.26;"03h34
10h35
16h32
23h07";"9,23m
4,03m
9,32m
4,03m";"47
 
51
 "
Lun.27;"04h51
11h46
17h31";"9,78m
3,43m
10,02m";"56
 
61"
Mar.28;"00h10
05h46
12h42
18h17";"3,34m
10,43m
2,85m
10,68m";" 
66
 
71"
Mer.29;"01h01
06h31
13h29
18h58";"2,77m
10,96m
2,45m
11,16m";" 
74
 
77"
Jeu.30;"01h46
07h12
14h09
19h35";"2,40m
11,31m
2,25m
11,46m";" 
80
 
81"
Ven.01;"02h24
07h49
14h44
20h09";"2,21m
11,47m
2,18m
11,59m";" 
82
 
82"
